nr, runtime
0, 10250
1, 10268
2, 10266
3, 10255
4, 10267
5, 10269
6, 10287
7, 10293
8, 10274
9, 10274
10, 10288
11, 10298
12, 10284
13, 10260
14, 10288
15, 10274
16, 10280
17, 10278
18, 10269
19, 10298
20, 10256
21, 10277
22, 10272
23, 10273
24, 10268
25, 10254
26, 10267
27, 10268
28, 10257
29, 10260
