nr, runtime
0, 10380
1, 10404
2, 10402
3, 10394
4, 10368
5, 10338
6, 10376
7, 10365
8, 10405
9, 10369
10, 10375
11, 10363
12, 10353
13, 10376
14, 10368
15, 10364
16, 10376
17, 10377
18, 10376
19, 10384
20, 10384
21, 10405
22, 10365
23, 10383
24, 10401
25, 10387
26, 10371
27, 10361
28, 10371
29, 10389
